video_path,anonymized,temp_res_text
train_data/video_clips/Germany_Brazil_7_1\clip_023.mp4,,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle.
train_data/video_clips/Germany_Brazil_7_1\clip_024.mp4,,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle.
train_data/video_clips/Germany_Brazil_7_1\clip_022.mp4,,"[PLAYER] ([TEAM]) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort."
train_data/video_clips/Germany_Brazil_7_1\clip_026.mp4,,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and gleefully rifles the ball into the left side of the goal. It's 0:1.
train_data/video_clips/Germany_Brazil_7_1\clip_025.mp4,,"[PLAYER] ([TEAM]) looks to break free, but an opposing player clears the ball away. The ball is out of play and the linesman points at the corner flag. Corner to [TEAM]."
train_data/video_clips/Germany_Brazil_7_1/clip_022.mp4,,"[PLAYER] ([TEAM]) swings in a cross, but the ball is cleared to safety by one of the defending players."
train_data/video_clips/Germany_Brazil_7_1/clip_024.mp4,,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle.
train_data/video_clips/Germany_Brazil_7_1/clip_026.mp4,,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and gleefully rifles the ball into the left side of the goal. It's 1:0.
train_data/video_clips/Germany_Brazil_7_1/clip_028.mp4,,[PLAYER] ([TEAM]) works the corner short instead of sending the ball into the penalty area.
train_data/video_clips/Germany_Brazil_7_1/clip_025.mp4,,"[PLAYER] ([TEAM]) takes the corner kick and sends the ball among a huddle of players inside the penalty area, but one of the defenders clears it to safety."
train_data/video_clips/Germany_Brazil_7_1/clip_023.mp4,,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
train_data/video_clips/Germany_Brazil_7_1/clip_027.mp4,,"[PLAYER] ([TEAM]) takes the corner and sends it into the penalty area, but the opposition's defence is ready and makes a good clearance."
